ano,id_municipio,avg_wage_dec,n_employ_dec,pop,nome,treated_group,treated_after_treatment
2018,3120904.0,1230.390569,16831,"81,085",Curvelo,0,0
2018,3110509.0,1312.282641,5261,"21,831",Camanducaia,0,0
2018,3126000.0,1203.562282,1374,"7,602",Florestal,1,0
2018,3138708.0,858.8184545,908,"5,431",Luminárias,0,0
2018,3131208.0,1189.313857,2273,"20,133",Ipanema,0,0
2018,3138302.0,1347.990902,421,"3,222",Leandro Ferreira,0,0
2018,3137809.0,1189.999855,2620,"20,995",Lambari,0,0
2018,3110301.0,1764.640208,2072,"14,600",Caldas,0,0
2018,3146909.0,1086.943475,3103,"15,922",Papagaios,1,0
2018,3147402.0,1566.045155,7317,"24,854",Paraopeba,1,0
2018,3122900.0,976.8443812,924,"6,664",Dona Euzébia,0,0
2018,3125200.0,1407.282205,309,"2,374",Fama,0,0
2018,3126406.0,1254.950873,443,"2,986",Fortuna de Minas,1,0
2018,3129905.0,1227.152571,363,"3,497",Ibitiúra de Minas,0,0
2018,3145604.0,1171.777798,9096,"41,987",Oliveira,0,0
2018,3155306.0,1154.896498,529,"5,924",Rio Manso,0,0
2018,3164308.0,1257.010587,1201,"7,100",São Roque de Minas,0,0
2018,3102308.0,1433.397256,2357,"15,135",Alvinópolis,0,0
2018,3163904.0,1150.257593,564,"4,563",São Pedro da União,0,0
2018,3165537.0,1801.784431,6865,"34,050",Sarzedo,0,0
2018,3138203.0,1841.24163,25879,"105,756",Lavras,0,0
2018,3169000.0,1210.148317,2797,"16,769",Tocantins,0,0
2018,3154200.0,1221.150031,1276,"11,578",Resende Costa,0,0
2018,3124104.0,1411.489006,6394,"72,512",Esmeraldas,1,0
2018,3158953.0,1353.067779,4591,"36,048",Santana do Paraíso,0,0
2018,3139003.0,1157.942204,9093,"42,682",Machado,0,0
2018,3115904.0,1118.503903,321,"3,216",Chácara,0,0
2018,3147105.0,1318.419314,27060,"95,616",Pará de Minas,1,0
2018,3149606.0,1223.425962,554,"4,457",Pequi,1,0
2018,3142205.0,1213.75767,2284,"15,205",Miraí,0,0
2018,3139706.0,1061.643666,1354,"8,113",Maravilhas,1,0
2018,3136652.0,1996.728171,6410,"27,823",Juatuba,1,0
2018,3133808.0,1539.271071,25734,"94,455",Itaúna,0,0
2018,3164704.0,1257.642214,17559,"71,915",São Sebastião do Paraíso,0,0
2018,3154804.0,1758.240865,1652,"10,524",Rio Acima,0,0
2018,3155801.0,1961.769645,3366,"18,007",Rio Pomba,0,0
2018,3152709.0,1021.277524,1464,"9,128",Prados,0,0
2018,3131000.0,1482.647904,1068,"6,352",Inhaúma,0,0
2018,3120805.0,1281.58884,2535,"15,529",Cruzília,0,0
2018,3152600.0,1436.547354,1673,"5,862",Pouso Alto,0,0
2018,3121605.0,2510.878956,9138,"47,924",Diamantina,0,0
2018,3152907.0,1138.123785,1136,"8,530",Pratápolis,0,0
2018,3123601.0,1135.956457,5214,"28,556",Elói Mendes,0,0
2018,3164407.0,1166.431335,1429,"5,598",São Sebastião da Bela Vista,0,0
2018,3147303.0,1565.990458,4360,"21,353",Paraisópolis,0,0
2018,3106101.0,1421.879951,689,"3,422",Belmiro Braga,0,0
2018,3162005.0,1139.654773,4691,"25,670",São Gonçalo do Sapucaí,0,0
2018,3140159.0,1130.723395,1355,"15,814",Mário Campos,1,0
2018,3101607.0,1735.924998,20800,"80,973",Alfenas,0,0
2018,3145505.0,1184.816372,392,"2,829",Olímpio Noronha,0,0
2018,3167905.0,1142.237218,605,"3,669",Tabuleiro,0,0
2018,3152006.0,1340.766572,5431,"32,248",Pompéu,1,0
2018,3135100.0,1271.554524,11018,"72,374",Janaúba,0,0
2018,3145901.0,2301.605726,11534,"40,220",Ouro Branco,0,0
2018,3135902.0,989.0576471,670,"4,774",Jesuânia,0,0
2018,3114303.0,1281.877484,5405,"30,339",Carmo do Paranaíba,0,0
2018,3107406.0,1175.629565,11177,"51,436",Bom Despacho,0,0
2018,3131406.0,1240.584587,619,"4,229",Ipiaçu,0,0
2018,3166907.0,955.4356765,1106,"7,667",Serrania,0,0
2018,3138401.0,1274.634742,10519,"52,690",Leopoldina,0,0
2018,3114709.0,1269.032934,389,"3,614",Carvalhópolis,0,0
2018,3100203.0,1157.370596,3911,"23,263",Abaeté,0,0
2018,3165404.0,1273.011754,1297,"7,045",Sapucaí-Mirim,0,0
2018,3106002.0,1812.018625,1256,"10,269",Bela Vista de Minas,0,0
2018,3162203.0,1159.876158,1240,"7,541",São João Batista do Glória,0,0
2017,3129905.0,1391.641009,354,"3,497",Ibitiúra de Minas,0,0
2017,3145901.0,2436.272778,11397,"40,220",Ouro Branco,0,0
2017,3131406.0,1279.59493,524,"4,229",Ipiaçu,0,0
2017,3121605.0,2389.123774,9031,"47,924",Diamantina,0,0
2017,3135100.0,1149.829858,11115,"72,374",Janaúba,0,0
2017,3152600.0,1428.07949,1656,"5,862",Pouso Alto,0,0
2017,3135902.0,897.7613187,686,"4,774",Jesuânia,0,0
