Ano,Codigo do Municipio,Nome do Municipio,Nome da Unidade da Federacao,Valor adicionado bruto da Agropecuaria (1000),Valor adicionado bruto da Industria (1000),Valor adicionado bruto dos Serviços (1000),Valor adicionado bruto da Adm (1000),Valor adicionado bruto total (1000),"Impostos, liq de Subsidios, sobre produtos (1000)",PIB (1000),PIB per Capita (1)
2015,3122603,Dom Joaquim,Minas Gerais,3826.797,1751.836,13374.108,19826.778,38779.519,1889.824,40669.344,8810.52
2015,3122702,Dom Silvério,Minas Gerais,5991.478,9500.849,31029.645,20361.343,66883.315,6061.693,72945.007,13639.68
2015,3122801,Dom Viçoso,Minas Gerais,4470.216,909.993,6796.203,13604.772,25781.184,529.491,26310.675,8561.89
2015,3122900,Dona Euzébia,Minas Gerais,11286.612,5540.352,24052.273,23109.596,63988.832,3336.225,67325.057,10462.32
2015,3123007,Dores de Campos,Minas Gerais,2942.102,75424.959,71515.275,34471.862,184354.198,31579.158,215933.356,21688.77
2015,3123106,Dores de Guanhães,Minas Gerais,6235.986,44057.299,20329.139,22979.282,93601.706,3773.934,97375.64,18276.21
2015,3123205,Dores do Indaiá,Minas Gerais,20223.909,15957.013,93124.397,50645.16,179950.479,11171.231,191121.71,13668.15
2015,3123304,Dores do Turvo,Minas Gerais,7335.757,1775.261,10806.531,17328.91,37246.459,1472.306,38718.765,8654.17
2015,3123403,Doresópolis,Minas Gerais,6928.993,22435.307,10909.823,10000.447,50274.57,2232.915,52507.485,34567.14
2015,3123502,Douradoquara,Minas Gerais,21363.291,5133.529,9277.38,11387.037,47161.237,2090.309,49251.546,25651.85
2015,3123528,Durandé,Minas Gerais,24280.946,4587.57,23608.725,27567.758,80044.999,3425.385,83470.385,10676.69
2015,3123601,Elói Mendes,Minas Gerais,49360.74,51989.26,212923.778,94839.7,409113.477,47768.031,456881.508,16755.23
2015,3123700,Engenheiro Caldas,Minas Gerais,7761.559,6145.958,46803.298,39762.727,100473.542,6924.987,107398.53,9797.35
2015,3123809,Engenheiro Navarro,Minas Gerais,7346.167,4196.943,23208.62,26932.084,61683.813,3749.645,65433.458,8888.0
2015,3123858,Entre Folhas,Minas Gerais,4570.062,2375.314,15595.605,20531.71,43072.692,1790.997,44863.688,8331.23
2015,3123908,Entre Rios de Minas,Minas Gerais,17965.383,12660.227,72591.163,50219.166,153435.939,9052.23,162488.17,10743.73
2015,3124005,Ervália,Minas Gerais,95451.002,16506.59,88785.263,62628.911,263371.766,10132.396,273504.163,14495.66
2015,3124104,Esmeraldas,Minas Gerais,33068.363,58873.521,234259.196,224889.058,551090.139,33491.942,584582.081,8698.1
2015,3124203,Espera Feliz,Minas Gerais,46968.608,18838.592,215953.326,81006.856,362767.381,43081.061,405848.443,16586.23
