ANO,COD_UF,NOME_UF,COD_MUN,NOME_MUN,VA_AGRO,VA_IND,VA_SERV,VA_ADM,VA_TOT,IMPOSTOS_INDIRETOS_LIQ_SUBSIDIOS,PIB,PIB_PER_CAPITA
2002,31,Minas Gerais,3114600,Carrancas,4149.117,513.615,3937.784,3976.475,12576.991,636.804,13213.795,3568.4
2002,31,Minas Gerais,3114709,Carvalhópolis,4323.726,896.24,3723.688,3894.826,12838.48,625.715,13464.195,4159.47
2002,31,Minas Gerais,3114808,Carvalhos,2341.079,475.087,4134.414,4829.345,11779.925,637.172,12417.097,2615.23
2002,31,Minas Gerais,3114907,Casa Grande,2008.161,339.912,1909.658,3023.648,7281.378,261.34,7542.718,3261.01
2002,31,Minas Gerais,3115003,Cascalho Rico,5285.021,839.37,3655.022,4491.152,14270.565,576.08,14846.645,5666.66
2002,31,Minas Gerais,3115102,Cássia,18108.791,6969.27,36142.94,17282.046,78503.047,6489.368,84992.415,4802.65
2002,31,Minas Gerais,3115201,Conceição da Barra de Minas,2667.945,330.928,2453.288,4270.413,9722.573,313.496,10036.069,2474.38
2002,31,Minas Gerais,3115300,Cataguases,5093.214,116330.551,165762.67,66295.39,353481.825,63619.78,417101.605,6352.64
2002,31,Minas Gerais,3115359,Catas Altas,1732.164,1806.25,4488.747,5082.356,13109.516,1007.897,14117.413,3235.71
2002,31,Minas Gerais,3115409,Catas Altas da Noruega,493.087,281.429,1649.758,3500.312,5924.586,248.632,6173.218,1892.46
2002,31,Minas Gerais,3115458,Catuji,1316.766,509.185,3952.166,6898.469,12676.586,574.163,13250.749,1786.78
2002,31,Minas Gerais,3115474,Catuti,2099.908,380.728,2050.857,5383.219,9914.711,275.339,10190.05,1954.36
2002,31,Minas Gerais,3115508,Caxambu,1039.185,9163.525,62738.96,21717.845,94659.514,8737.953,103397.467,4517.74
2002,31,Minas Gerais,3115607,Cedro do Abaeté,712.811,219.607,1273.019,2502.136,4707.572,131.315,4838.888,3849.55
2002,31,Minas Gerais,3115706,Central de Minas,1852.142,1031.449,5938.182,6162.409,14984.182,1261.578,16245.76,2469.71
2002,31,Minas Gerais,3115805,Centralina,14255.537,5035.847,16916.915,9450.989,45659.288,2966.785,48626.073,5275.69
2002,31,Minas Gerais,3115904,Chácara,1504.976,426.011,2233.092,3259.83,7423.909,345.813,7769.723,3673.63
2002,31,Minas Gerais,3116001,Chalé,2426.001,551.346,3517.419,5762.346,12257.112,448.362,12705.474,2228.64
2002,31,Minas Gerais,3116100,Chapada do Norte,1425.969,644.553,5376.582,13640.134,21087.238,677.285,21764.523,1444.9
2002,31,Minas Gerais,3116159,Chapada Gaúcha,11659.153,1435.364,7214.874,7473.008,27782.4,1569.07,29351.47,3624.09
2002,31,Minas Gerais,3116209,Chiador,1085.885,315.673,2187.942,3891.845,7481.345,245.996,7727.342,2597.43
2002,31,Minas Gerais,3116308,Cipotânea,2775.419,539.767,3184.973,5747.141,12247.3,372.616,12619.916,1979.59
2002,31,Minas Gerais,3116407,Claraval,3198.779,3408.921,5702.572,5357.673,17667.945,1497.752,19165.697,4277.1
2002,31,Minas Gerais,3116506,Claro dos Poções,4931.156,670.306,3976.62,7067.883,16645.966,677.676,17323.642,2117.8
2002,31,Minas Gerais,3116605,Cláudio,7493.846,18147.932,36714.572,23407.387,85763.736,9913.834,95677.57,4039.93
2002,31,Minas Gerais,3116704,Coimbra,3379.261,911.204,4371.823,6767.462,15429.751,576.64,16006.392,2345.95
2002,31,Minas Gerais,3116803,Coluna,2737.05,729.489,5128.569,8518.514,17113.623,903.61,18017.233,1982.09
2002,31,Minas Gerais,3116902,Comendador Gomes,18018.89,1857.219,12958.953,3645.932,36480.995,3796.011,40277.006,14348.77
2002,31,Minas Gerais,3117009,Comercinho,3361.15,1263.675,3073.207,8695.91,16393.943,436.265,16830.208,1650.99
2002,31,Minas Gerais,3117108,Conceição da Aparecida,14692.025,2003.022,12289.996,8374.096,37359.139,2196.065,39555.203,4193.28
2002,31,Minas Gerais,3117207,Conceição das Pedras,4294.027,721.519,3636.073,3559.207,12210.826,450.502,12661.329,4559.35
2002,31,Minas Gerais,3117306,Conceição das Alagoas,40339.456,18971.531,54628.864,21055.931,134995.781,12149.397,147145.178,8153.44
2002,31,Minas Gerais,3117405,Conceição de Ipanema,1527.714,383.708,2429.86,4964.531,9305.812,222.709,9528.521,2295.48
2002,31,Minas Gerais,3117504,Conceição do Mato Dentro,5132.542,1323.203,13956.346,16817.049,37229.139,2499.072,39728.211,2134.43
2002,31,Minas Gerais,3117603,Conceição do Pará,4289.773,11889.163,6927.916,5268.138,28374.99,2933.532,31308.522,6199.71
2002,31,Minas Gerais,3117702,Conceição do Rio Verde,9058.23,3841.506,17313.634,11751.109,41964.478,2916.023,44880.501,3509.03
2002,31,Minas Gerais,3117801,Conceição dos Ouros,3276.561,11628.33,12491.063,8365.28,35761.234,4115.667,39876.901,4295.69
2002,31,Minas Gerais,3117836,Cônego Marinho,1447.017,354.551,2338.753,6037.392,10177.713,243.48,10421.193,1618.95
2002,31,Minas Gerais,3117876,Confins,472.363,5084.033,46242.517,6350.87,58149.783,3877.194,62026.977,11841.73
2002,31,Minas Gerais,3117900,Congonhal,2643.782,10151.369,16583.839,9049.353,38428.343,5440.345,43868.688,4770.93
2002,31,Minas Gerais,3118007,Congonhas,481.239,77747.311,103016.692,58367.626,239612.869,20857.287,260470.156,6064.78
2002,31,Minas Gerais,3118106,Congonhas do Norte,953.562,305.844,2365.319,5283.676,8908.402,299.212,9207.614,1840.79
2002,31,Minas Gerais,3118205,Conquista,24674.275,6536.537,15390.619,8094.564,54695.995,3787.045,58483.04,10033.12
2002,31,Minas Gerais,3118304,Conselheiro Lafaiete,2441.601,42479.669,213383.994,95508.796,353814.06,36580.545,390394.604,3655.62
2002,31,Minas Gerais,3118403,Conselheiro Pena,9393.444,5245.164,29645.394,21722.465,66006.468,5342.07,71348.538,3357.42
2002,31,Minas Gerais,3118502,Consolação,1809.323,401.671,1410.407,2179.215,5800.615,175.37,5975.985,3523.58
2002,31,Minas Gerais,3118601,Contagem,278.598,1877214.066,2561957.986,601828.329,5041278.979,1224829.327,6266108.307,11121.66
2002,31,Minas Gerais,3118700,Coqueiral,13770.015,1895.507,10260.604,9973.607,35899.733,1287.311,37187.043,3823.47
2002,31,Minas Gerais,3118809,Coração de Jesus,9557.338,1742.336,14025.032,20283.582,45608.288,2229.607,47837.895,1846.52
2002,31,Minas Gerais,3118908,Cordisburgo,6413.125,1650.251,6792.352,8186.039,23041.767,1115.814,24157.58,2828.09
2002,31,Minas Gerais,3119005,Cordislândia,6636.581,798.798,3829.35,3845.379,15110.108,514.799,15624.907,4525.02
2002,31,Minas Gerais,3119104,Corinto,9507.321,4884.83,32359.109,22448.072,69199.333,4990.649,74189.982,3042.07
