ANO,NOME_MUN,GINI
2010,Resplendor,0.5531
2010,Ressaquinha,0.429
2010,Riachinho,0.4904
2010,Riacho dos Machados,0.4462
2010,Ribeirão das Neves,0.408
2010,Ribeirão Vermelho,0.4373
2010,Rio Acima,0.4747
2010,Rio Casca,0.4741
2010,Rio do Prado,0.5025
2010,Rio Doce,0.4538
2010,Rio Espera,0.4858
2010,Rio Manso,0.4371
2010,Rio Novo,0.478
2010,Rio Paranaíba,0.5104
2010,Rio Pardo de Minas,0.532
2010,Rio Piracicaba,0.4661
2010,Rio Pomba,0.4736
2010,Rio Preto,0.5295
2010,Rio Vermelho,0.5642
2010,Ritápolis,0.4405
2010,Rochedo de Minas,0.3875
2010,Rodeiro,0.4623
2010,Romaria,0.5473
2010,Rosário da Limeira,0.4884
2010,Rubelita,0.5019
2010,Rubim,0.4906
2010,Sabará,0.4693
2010,Sabinópolis,0.5231
2010,Sacramento,0.4481
2010,Salinas,0.6637
2010,Salto da Divisa,0.5327
2010,Santa Bárbara,0.4839
2010,Santa Bárbara do Leste,0.4405
2010,Santa Bárbara do Monte Verde,0.5218
2010,Santa Bárbara do Tugúrio,0.4207
2010,Santa Cruz de Minas,0.3938
2010,Santa Cruz de Salinas,0.4961
2010,Santa Cruz do Escalvado,0.4597
2010,Santa Efigênia de Minas,0.4866
2010,Santa Fé de Minas,0.5377
2010,Santa Helena de Minas,0.4983
2010,Santa Juliana,0.4463
2010,Santa Luzia,0.4495
2010,Santa Margarida,0.6193
2010,Santa Maria de Itabira,0.4567
2010,Santa Maria do Salto,0.4477
2010,Santa Maria do Suaçuí,0.5459
2010,Santa Rita de Caldas,0.4322
2010,Santa Rita de Ibitipoca,0.5147
2010,Santa Rita de Jacutinga,0.4763
2010,Santa Rita de Minas,0.4488
2010,Santa Rita do Itueto,0.45
2010,Santa Rita do Sapucaí,0.4942
2010,Santa Rosa da Serra,0.4704
2010,Santa Vitória,0.4711
2010,Santana da Vargem,0.4021
2010,Santana de Cataguases,0.4122
2010,Santana de Pirapama,0.4258
2010,Santana do Deserto,0.4672
2010,Santana do Garambéu,0.5441
2010,Santana do Jacaré,0.4176
2010,Santana do Manhuaçu,0.4831
2010,Santana do Paraíso,0.4314
2010,Santana do Riacho,0.5293
2010,Santana dos Montes,0.4053
2010,Santo Antônio do Amparo,0.4365
2010,Santo Antônio do Aventureiro,0.4255
2010,Santo Antônio do Grama,0.4238
2010,Santo Antônio do Itambé,0.4796
2010,Santo Antônio do Jacinto,0.5323
2010,Santo Antônio do Monte,0.4941
2010,Santo Antônio do Retiro,0.5951
2010,Santo Antônio do Rio Abaixo,0.5286
2010,Santo Hipólito,0.5459
2010,Santos Dumont,0.5098
2010,São Bento Abade,0.4277
2010,São Brás do Suaçuí,0.5402
2010,São Domingos das Dores,0.4828
2010,São Domingos do Prata,0.4948
2010,São Félix de Minas,0.4679
2010,São Francisco,0.5575
2010,São Francisco de Paula,0.3891
2010,São Francisco de Sales,0.5311
2010,São Francisco do Glória,0.4742
2010,São Geraldo,0.4168
2010,São Geraldo da Piedade,0.5563
2010,São Geraldo do Baixio,0.4981
2010,São Gonçalo do Abaeté,0.4736
2010,São Gonçalo do Pará,0.4079
2010,São Gonçalo do Rio Abaixo,0.4787
2010,São Gonçalo do Rio Preto,0.4367
2010,São Gonçalo do Sapucaí,0.528
2010,São Gotardo,0.5173
2010,São João Batista do Glória,0.4537
2010,São João da Lagoa,0.4877
2010,São João da Mata,0.4016
2010,São João da Ponte,0.4828
2010,São João das Missões,0.5225
2010,São João del Rei,0.5258
2010,São João do Manhuaçu,0.5878
2010,São João do Manteninha,0.443
2010,São João do Oriente,0.4496
2010,São João do Pacuí,0.6465
2010,São João do Paraíso,0.4571
2010,São João Evangelista,0.5297
2010,São João Nepomuceno,0.4224
2010,São Joaquim de Bicas,0.4538
2010,São José da Barra,0.505
2010,São José da Lapa,0.4483
2010,São José da Safira,0.4783
2010,São José da Varginha,0.4909
2010,São José do Alegre,0.4773
2010,São José do Divino,0.5745
2010,São José do Goiabal,0.5289
2010,São José do Jacuri,0.4947
2010,São José do Mantimento,0.4919
2010,São Lourenço,0.517
2010,São Miguel do Anta,0.447
2010,São Pedro da União,0.4594
2010,São Pedro do Suaçuí,0.485
2010,São Pedro dos Ferros,0.4315
2010,São Romão,0.5301
2010,São Roque de Minas,0.4532
2010,São Sebastião da Bela Vista,0.4342
2010,São Sebastião da Vargem Alegre,0.4217
2010,São Sebastião do Anta,0.4555
2010,São Sebastião do Maranhão,0.5435
2010,São Sebastião do Oeste,0.4102
2010,São Sebastião do Paraíso,0.4736
2010,São Sebastião do Rio Preto,0.5052
2010,São Sebastião do Rio Verde,0.4263
2010,São Thomé das Letras,0.4017
2010,São Tiago,0.4477
2010,São Tomás de Aquino,0.4319
2010,São Vicente de Minas,0.5282
2010,Sapucaí-Mirim,0.4466
2010,Sardoá,0.4984
2010,Sarzedo,0.4641
2010,Sem-Peixe,0.4442
2010,Senador Amaral,0.4573
2010,Senador Cortes,0.5846
2010,Senador Firmino,0.4386
2010,Senador José Bento,0.4012
2010,Senador Modestino Gonçalves,0.4339
2010,Senhora de Oliveira,0.4529
2010,Senhora do Porto,0.476
2010,Senhora dos Remédios,0.4464
2010,Sericita,0.4523
2010,Seritinga,0.4284
2010,Serra Azul de Minas,0.5483
2010,Serra da Saudade,0.3792
2010,Serra do Salitre,0.5316
2010,Serra dos Aimorés,0.5723
2010,Serrania,0.4491
2010,Serranópolis de Minas,0.5356
2010,Serranos,0.5075
2010,Serro,0.6597
2010,Sete Lagoas,0.5353
2010,Setubinha,0.549
2010,Silveirânia,0.4107
2010,Silvianópolis,0.4721
2010,Simão Pereira,0.5141
2010,Simonésia,0.5094
2010,Sobrália,0.4885
2010,Soledade de Minas,0.4544
2010,Tabuleiro,0.456
2010,Taiobeiras,0.5166
2010,Taparuba,0.3994
2010,Tapira,0.5532
2010,Tapiraí,0.4552
2010,Taquaraçu de Minas,0.4547
2010,Tarumirim,0.4812
2010,Teixeiras,0.5609
2010,Teófilo Otoni,0.5853
2010,Timóteo,0.4893
2010,Tiradentes,0.5748
2010,Tiros,0.5427
2010,Tocantins,0.4237
2010,Tocos do Moji,0.4184
2010,Toledo,0.4013
2010,Tombos,0.5328
2010,Três Corações,0.5655
2010,Três Marias,0.5297
2010,Três Pontas,0.5126
2010,Tumiritinga,0.4635
2010,Tupaciguara,0.5047
2010,Turmalina,0.5058
