NOME_MUN,TAXA_ALFAB,ANO
Piranga,89.6,2010
Piranguçu,90.1,2010
Piranguinho,93.1,2010
Pirapetinga,92.0,2010
Pirapora,93.6,2010
Piraúba,91.1,2010
Pitangui,94.3,2010
Piumhi,93.5,2010
Planura,92.3,2010
Poço Fundo,93.6,2010
Poços de Caldas,96.6,2010
Pocrane,82.8,2010
Pompéu,91.4,2010
Ponte Nova,93.6,2010
Ponto Chique,85.5,2010
Ponto dos Volantes,75.4,2010
Porteirinha,80.7,2010
Porto Firme,87.7,2010
Poté,77.1,2010
Pouso Alegre,96.3,2010
Pouso Alto,92.1,2010
Prados,93.6,2010
Prata,91.0,2010
Pratápolis,91.9,2010
Pratinha,89.4,2010
Presidente Bernardes,87.9,2010
Presidente Juscelino,82.4,2010
Presidente Kubitschek,88.0,2010
Presidente Olegário,90.3,2010
Alto Jequitibá,90.4,2010
Prudente de Morais,94.0,2010
Quartel Geral,89.1,2010
Queluzito,93.8,2010
Raposos,95.3,2010
Raul Soares,87.2,2010
Recreio,89.4,2010
Reduto,88.2,2010
Resende Costa,94.5,2010
Resplendor,86.5,2010
Ressaquinha,90.3,2010
Riachinho,87.9,2010
Riacho dos Machados,80.3,2010
Ribeirão das Neves,94.2,2010
Ribeirão Vermelho,95.2,2010
Rio Acima,93.4,2010
Rio Casca,89.8,2010
Rio Doce,86.9,2010
Rio do Prado,78.3,2010
Rio Espera,88.1,2010
Rio Manso,89.5,2010
Rio Novo,90.7,2010
Rio Paranaíba,92.0,2010
Rio Pardo de Minas,79.5,2010
Rio Piracicaba,92.1,2010
Rio Pomba,91.7,2010
Rio Preto,88.8,2010
Rio Vermelho,76.4,2010
Ritápolis,91.2,2010
Rochedo de Minas,91.4,2010
Rodeiro,92.6,2010
Romaria,92.3,2010
Rosário da Limeira,87.4,2010
Rubelita,78.2,2010
Rubim,75.6,2010
Sabará,95.5,2010
Sabinópolis,84.2,2010
Sacramento,94.1,2010
Salinas,84.4,2010
Salto da Divisa,75.9,2010
Santa Bárbara,94.7,2010
Santa Bárbara do Leste,87.7,2010
Santa Bárbara do Monte Verde,86.3,2010
Santa Bárbara do Tugúrio,87.1,2010
Santa Cruz de Minas,95.2,2010
Santa Cruz de Salinas,76.5,2010
Santa Cruz do Escalvado,86.0,2010
Santa Efigênia de Minas,82.5,2010
Santa Fé de Minas,83.5,2010
Santa Helena de Minas,70.4,2010
Santa Juliana,93.3,2010
Santa Luzia,95.6,2010
Santa Margarida,89.1,2010
Santa Maria de Itabira,87.6,2010
Santa Maria do Salto,74.2,2010
Santa Maria do Suaçuí,78.7,2010
Santana da Vargem,91.8,2010
