NOME_MUN,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM,ANO
Estrela do Indaiá,0.3838449111470113,0.20678513731825526,0.06882067851373183,0.01680129240710824,0.008077544426494346,2010
Estrela do Sul,0.3632558139534884,0.23317829457364342,0.08294573643410853,0.017984496124031007,0.004651162790697674,2010
Eugenópolis,0.45764552562988703,0.1604039965247611,0.05940486533449175,0.01444396177237185,0.0041268462206776714,2010
Ewbank da Câmara,0.36114570361145704,0.1815068493150685,0.06320049813200498,0.00560398505603985,0.001556662515566625,2010
Extrema,0.22841777526181714,0.30124135700133436,0.14018842747968138,0.030690226840807085,0.006995269095467227,2010
Fama,0.3739759036144578,0.21445783132530122,0.09349397590361445,0.020240963855421686,0.00963855421686747,2010
Faria Lemos,0.4358797096439682,0.14725198755617006,0.07811959903214656,0.013135153819564467,0.0038022813688212928,2010
Felício dos Santos,0.4800649049605934,0.10523875753361149,0.028975428836346778,0.0037088548910523874,0.0006954102920723226,2010
São Gonçalo do Rio Preto,0.4696620583717358,0.11443932411674347,0.031874039938556066,0.0049923195084485405,0.001152073732718894,2010
Felisburgo,0.4700516351118761,0.07074010327022376,0.02857142857142857,0.004819277108433735,0.002237521514629948,2010
Felixlândia,0.40513964633944805,0.153941497273178,0.06081639398446538,0.009419930589985127,0.004048917534291853,2010
Fernandes Tourinho,0.40510670731707316,0.14138719512195122,0.052972560975609755,0.007621951219512195,0.001524390243902439,2010
Ferros,0.4592219483442289,0.11317114993033973,0.040188618583217234,0.00953809881041689,0.0035365984353231167,2010
Fervedouro,0.43252675663099116,0.08701721731037693,0.03571428571428571,0.004536993950674732,0.0012796649604467194,2010
Florestal,0.2933217692974848,0.20815264527320035,0.13026886383347788,0.03243712055507372,0.009193408499566348,2010
Formiga,0.3251991599701477,0.22576670080011108,0.10930801673117309,0.025738931218216847,0.00874741829668327,2010
Formoso,0.3928677563150074,0.11797919762258544,0.04457652303120357,0.009806835066864784,0.003566121842496285,2010
Fortaleza de Minas,0.3254757171258165,0.22181198523146833,0.1136040897472309,0.015336552115876171,0.003976143141153081,2010
Fortuna de Minas,0.4204398447606727,0.16558861578266496,0.0599396291504959,0.01164294954721863,0.0038809831824062097,2010
Francisco Badaró,0.4378014582164891,0.1108244531688166,0.022434099831744252,0.0033651149747616375,0.0003365114974761638,2010
Francisco Dumont,0.4684484038604306,0.11630784459292254,0.04058401385795595,0.00544419698094531,0.0017322444939371442,2010
Francisco Sá,0.4350207152721558,0.08533739701890566,0.034144483070622414,0.007667031763417305,0.002285823134434973,2010
Franciscópolis,0.496046608406159,0.08343736995422389,0.024968789013732832,0.004369538077403246,0.0018726591760299626,2010
Frei Gaspar,0.4886316659776767,0.07771806531624638,0.028110789582472095,0.0033071517155849523,0.002066969822240595,2010
Frei Inocêncio,0.4109736417428725,0.1258741258741259,0.052850995158687464,0.01008606777837547,0.0016137708445400753,2010
Frei Lagonegro,0.46223674655047203,0.06209150326797386,0.021060275962236745,0.0036310820624546117,0.0,2010
Fronteira,0.26744579945799457,0.22764227642276422,0.13177506775067752,0.022103658536585365,0.0049966124661246615,2010
Fronteira dos Vales,0.4945528249303268,0.06663288573600203,0.024068913098555866,0.0015201418799087915,0.001266784899923993,2010
Fruta de Leite,0.4500525762355415,0.09274447949526814,0.021661409043112513,0.00231335436382755,0.0006309148264984228,2010
Frutal,0.2898185809284008,0.2279897561710461,0.1366776421976887,0.028579421955366172,0.009253879096993566,2010
