NOME_MUN,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,ANO,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA
Goiabeira,72.91,18.8,0.647,0.628,0.799,0.539,2010,,
Goianá,75.1,15.2,0.716,0.682,0.835,0.644,2010,,
Gonçalves,74.96,15.4,0.683,0.671,0.833,0.57,2010,,
Gonzaga,71.44,21.4,0.606,0.558,0.774,0.516,2010,,
Gouveia,74.98,15.4,0.681,0.622,0.833,0.609,2010,,
Governador Valadares,75.06,14.66,0.727,0.714,0.834,0.644,2010,,
Grão Mogol,72.44,19.6,0.604,0.579,0.791,0.482,2010,,
Grupiara,75.64,14.4,0.731,0.679,0.844,0.682,2010,,
Guanhães,74.22,16.6,0.686,0.683,0.82,0.576,2010,,
Guapé,74.86,15.6,0.679,0.661,0.831,0.57,2010,,
Guaraciaba,72.61,19.3,0.623,0.618,0.794,0.493,2010,,
Guaraciama,73.4,17.9,0.677,0.586,0.807,0.655,2010,,
Guaranésia,75.7,14.3,0.701,0.693,0.845,0.589,2010,,
Guarani,75.96,13.9,0.677,0.685,0.849,0.533,2010,,
Guarará,73.1,18.4,0.652,0.65,0.802,0.532,2010,,
Guarda-Mor,74.76,15.7,0.69,0.709,0.829,0.558,2010,,
Guaxupé,77.81,11.3,0.751,0.729,0.88,0.659,2010,,
Guidoval,75.22,15.0,0.683,0.669,0.837,0.569,2010,,
Guimarânia,74.51,16.1,0.693,0.681,0.825,0.592,2010,,
Guiricema,73.74,17.4,0.674,0.654,0.812,0.576,2010,,
Gurinhatã,76.88,12.6,0.68,0.691,0.865,0.525,2010,,
Heliodora,74.29,16.4,0.657,0.656,0.822,0.527,2010,,
Iapu,74.12,16.7,0.654,0.639,0.819,0.535,2010,,
Ibertioga,75.01,15.3,0.657,0.606,0.834,0.56,2010,,
Ibiaí,72.71,19.1,0.614,0.565,0.795,0.516,2010,,
Ibiá,77.62,11.6,0.718,0.736,0.877,0.573,2010,,
Ibiracatu,72.17,20.1,0.591,0.537,0.786,0.489,2010,,
Ibiraci,76.28,13.4,0.706,0.696,0.855,0.591,2010,,
Ibirité,75.41,14.7,0.704,0.673,0.84,0.616,2010,,
Ibitiúra de Minas,73.14,18.4,0.674,0.658,0.802,0.579,2010,,
Ibituruna,74.39,16.3,0.675,0.639,0.823,0.584,2010,,
Icaraí de Minas,72.96,18.7,0.624,0.57,0.799,0.533,2010,,
Igarapé,75.63,14.4,0.698,0.686,0.844,0.588,2010,,
