COD_MUN,ANO,VINCULOS_MEDIA
3162302,2020,293.25
3162302,2021,296.8333333333333
3162302,2022,312.4166666666667
3162302,2023,307.9166666666667
3162302,2024,309.5
3162302,2025,306.75
3162401,2007,932.6666666666666
3162401,2008,957.9166666666666
3162401,2009,951.6666666666666
3162401,2010,1046.0833333333333
3162401,2011,1062.8333333333333
3162401,2012,1075.6666666666667
3162401,2013,1094.5833333333333
3162401,2014,1140.5833333333333
3162401,2015,1200.3333333333333
3162401,2016,1187.5
3162401,2017,1173.0833333333333
3162401,2018,1242.8333333333333
3162401,2019,1315.0
3162401,2020,1490.75
3162401,2021,1716.8333333333333
3162401,2022,1763.75
3162401,2023,1678.8333333333333
3162401,2024,1659.0
3162401,2025,1668.0833333333333
3162450,2007,315.8333333333333
3162450,2008,317.25
3162450,2009,315.25
3162450,2010,314.9166666666667
3162450,2011,323.0
3162450,2012,327.4166666666667
3162450,2013,325.8333333333333
3162450,2014,331.0
3162450,2015,337.1666666666667
3162450,2016,334.5833333333333
3162450,2017,334.0833333333333
3162450,2018,338.5
3162450,2019,339.25
3162450,2020,332.5833333333333
3162450,2021,333.4166666666667
3162450,2022,350.8333333333333
3162450,2023,362.25
3162450,2024,352.25
3162450,2025,358.75
3162500,2007,15022.166666666666
3162500,2008,15694.75
3162500,2009,15643.5
3162500,2010,16793.916666666668
3162500,2011,17674.416666666668
3162500,2012,18120.333333333332
3162500,2013,18193.166666666668
3162500,2014,18515.583333333332
3162500,2015,18339.666666666668
3162500,2016,18113.75
3162500,2017,18177.25
3162500,2018,18334.75
3162500,2019,18644.5
3162500,2020,18283.583333333332
3162500,2021,19275.083333333332
3162500,2022,20521.916666666668
3162500,2023,21169.333333333332
3162500,2024,21444.916666666668
3162500,2025,21491.0
3162559,2007,699.9166666666666
3162559,2008,625.25
3162559,2009,661.3333333333334
3162559,2010,696.0
3162559,2011,662.5
3162559,2012,665.6666666666666
3162559,2013,668.0
3162559,2014,646.75
3162559,2015,695.9166666666666
3162559,2016,716.75
