,Nome,Codigo,Grupo 1 controle,Grupo 1 tratamento
477,Poço Fundo,315170.0,0.0,0
478,Maravilhas,313970.0,0.0,0
479,Pompéu,315200.0,0.0,0
480,Barra Longa,310570.0,0.0,0
481,Itumirim,313430.0,0.0,0
482,Vargem Grande do Rio Pardo,317065.0,0.0,0
483,Brás Pires,310870.0,0.0,0
484,Heliodora,312920.0,0.0,0
485,Mendes Pimentel,314150.0,0.0,0
486,Coração de Jesus,311880.0,0.0,0
487,Bonfim,310810.0,0.0,0
488,São José do Mantimento,316360.0,0.0,0
489,Paula Cândido,314830.0,0.0,0
490,Santa Rita de Ibitipoca,315940.0,0.0,0
491,Ponto Chique,315213.0,0.0,0
492,Pescador,315000.0,0.0,0
493,Pouso Alto,315260.0,0.0,0
494,Alto Caparaó,310205.0,0.0,0
495,Pedra do Anta,314880.0,0.0,0
496,Juramento,313680.0,0.0,0
497,São Geraldo da Piedade,316160.0,0.0,0
498,Caiana,311010.0,0.0,0
499,Passa Quatro,314760.0,0.0,0
500,Candeias,311200.0,0.0,0
501,Paulistas,314840.0,0.0,0
502,Ouro Verde de Minas,314620.0,0.0,0
503,Senhora dos Remédios,316620.0,0.0,0
504,Chácara,311590.0,0.0,0
505,Piedade de Ponte Nova,315020.0,0.0,0
506,Palma,314670.0,0.0,0
507,Serra Azul de Minas,316650.0,0.0,0
508,Fortuna de Minas,312640.0,0.0,0
509,Itaipé,313230.0,0.0,0
510,Córrego Fundo,311995.0,0.0,0
511,Laranjal,313800.0,0.0,0
512,Ipuiúna,313150.0,0.0,0
513,Buenópolis,310920.0,0.0,0
514,Capitão Andrade,311265.0,0.0,0
515,Monte Santo de Minas,314320.0,0.0,0
516,Coroaci,311920.0,0.0,0
517,Pintópolis,315057.0,0.0,0
518,São Francisco do Glória,316140.0,0.0,0
519,Rio Preto,315590.0,0.0,0
520,Monte Carmelo,314310.0,0.0,0
521,São Sebastião do Anta,316447.0,0.0,0
522,Alterosa,310200.0,0.0,0
523,Sabinópolis,315680.0,0.0,0
524,São Sebastião do Oeste,316460.0,0.0,0
525,Santo Antônio do Itambé,316020.0,0.0,0
526,Ubaporanga,317005.0,0.0,0
527,Andrelândia,310280.0,0.0,0
528,São José do Divino,316330.0,0.0,0
529,Icaraí de Minas,313005.0,0.0,0
530,Catuji,311545.0,0.0,0
531,Argirita,310440.0,0.0,0
532,Martinho Campos,314050.0,0.0,0
533,Berilo,310650.0,0.0,0
534,Serrania,316690.0,0.0,0
535,Grupiara,312790.0,0.0,0
536,Simonésia,316760.0,0.0,0
537,Claro dos Poções,311650.0,0.0,0
538,Bugre,310925.0,0.0,0
539,Tumiritinga,316950.0,0.0,0
540,Alagoa,310130.0,0.0,0
541,Cônego Marinho,311783.0,0.0,0
542,Alvorada de Minas,310240.0,0.0,0
543,Montezuma,314345.0,0.0,0
544,Centralina,311580.0,0.0,0
545,Diogo de Vasconcelos,312170.0,0.0,0
546,Itaverava,313390.0,0.0,0
547,Conceição do Rio Verde,311770.0,0.0,0
548,Inhaúma,313100.0,0.0,0
549,Monte Belo,314300.0,0.0,0
550,Gameleiras,312733.0,0.0,0
551,Riacho dos Machados,315450.0,0.0,0
552,Fama,312520.0,0.0,0
553,Belmiro Braga,310610.0,0.0,0
554,Caldas,311030.0,0.0,0
555,Carmo do Paranaíba,311430.0,0.0,0
556,São Geraldo do Baixio,316165.0,0.0,0
557,Ilicínea,313050.0,0.0,0
558,Abadia dos Dourados,310010.0,0.0,0
559,Pai Pedro,314655.0,0.0,0
560,Conselheiro Pena,311840.0,0.0,0
561,Santa Rita de Jacutinga,315930.0,0.0,0
562,Dom Viçoso,312280.0,0.0,0
563,Rubelita,315650.0,0.0,0
564,Indianópolis,313070.0,0.0,0
565,Rio Vermelho,315600.0,0.0,0
566,Pedra do Indaiá,314890.0,0.0,0
567,Desterro do Melo,312150.0,0.0,0
568,Minduri,314190.0,0.0,0
569,Wenceslau Braz,317220.0,0.0,0
570,Pirajuba,315070.0,0.0,0
571,São Francisco de Paula,316120.0,0.0,0
572,São João das Missões,316245.0,0.0,0
573,Santo Antônio do Aventureiro,316000.0,0.0,0
574,Santa Rita de Caldas,315920.0,0.0,0
575,Queluzito,315380.0,0.0,0
576,Desterro de Entre Rios,312140.0,0.0,0
577,Jequitaí,313560.0,0.0,0
578,Carvalhos,311480.0,0.0,0
579,Ladainha,313700.0,0.0,0
580,São Sebastião do Maranhão,316450.0,0.0,0
581,Córrego Danta,311980.0,0.0,0
582,Brasilândia de Minas,310855.0,0.0,0
583,Franciscópolis,312675.0,0.0,0
584,Nova Módica,314490.0,0.0,0
585,Santa Bárbara do Leste,315725.0,0.0,0
586,Bertópolis,310660.0,0.0,0
587,Pavão,314850.0,0.0,0
588,Senador Amaral,316557.0,0.0,0
589,Leandro Ferreira,313830.0,0.0,0
590,Aiuruoca,310120.0,0.0,0
591,Alvarenga,310220.0,0.0,0
592,Piedade dos Gerais,315040.0,0.0,0
593,Botelhos,310840.0,0.0,0
594,Monte Formoso,314315.0,0.0,0
595,Bandeira,310520.0,0.0,0
596,Itapagipe,313340.0,0.0,0
597,Aguanil,310080.0,0.0,0
598,São João do Manhuaçu,316255.0,0.0,0
599,Silveirânia,316730.0,0.0,0
600,Serra da Saudade,316660.0,0.0,0
601,Lagoa dos Patos,313730.0,0.0,0
602,Bonito de Minas,310825.0,0.0,0
603,Coronel Pacheco,311960.0,0.0,0
604,Aricanduva,310445.0,0.0,0
605,Ferros,312590.0,0.0,0
606,São João do Pacuí,316265.0,0.0,0
607,Cristália,312030.0,0.0,0
608,São Sebastião da Vargem Alegre,316443.0,0.0,0
609,Urucânia,317050.0,0.0,0
610,Pedra Dourada,314900.0,0.0,0
611,Nova Porteirinha,314505.0,0.0,0
612,Capelinha,311230.0,0.0,0
613,Materlândia,314060.0,0.0,0
614,Pedro Teixeira,314940.0,0.0,0
615,Natércia,314440.0,0.0,0
616,Novo Cruzeiro,314530.0,0.0,0
617,Bambuí,310510.0,0.0,0
618,Conceição das Alagoas,311730.0,0.0,0
619,Juvenília,313695.0,0.0,0
620,Prata,315280.0,0.0,0
621,Caparaó,311210.0,0.0,0
622,São Miguel do Anta,316380.0,0.0,0
623,Santa Fé de Minas,315760.0,0.0,0
624,Carmo do Rio Claro,311440.0,0.0,0
625,Campos Gerais,311160.0,0.0,0
626,Silvianópolis,316740.0,0.0,0
627,Virginópolis,317180.0,0.0,0
628,Baldim,310500.0,0.0,0
629,Açucena,310050.0,0.0,0
630,Ninheira,314465.0,0.0,0
631,Francisco Dumont,312660.0,0.0,0
632,Campina Verde,311110.0,0.0,0
633,Liberdade,313850.0,0.0,0
634,Natalândia,314437.0,0.0,0
635,Datas,312100.0,0.0,0
636,Piedade do Rio Grande,315030.0,0.0,0
637,Santana da Vargem,315830.0,0.0,0
638,Santo Antônio do Monte,316040.0,0.0,0
639,Joaquim Felício,313640.0,0.0,0
640,Sacramento,315690.0,0.0,0
641,Unaí,317040.0,0.0,0
642,Pedra Bonita,314875.0,0.0,0
643,Iraí de Minas,313160.0,0.0,0
644,Bom Repouso,310790.0,0.0,0
645,Ibiá,312950.0,0.0,0
646,São João Batista do Glória,316220.0,0.0,0
647,Pocrane,315190.0,0.0,0
648,Arinos,310450.0,0.0,0
649,Marmelópolis,314040.0,0.0,0
650,Botumirim,310850.0,0.0,0
651,Frei Lagonegro,312695.0,0.0,0
652,Cássia,311510.0,0.0,0
653,Carlos Chagas,311370.0,0.0,0
654,Capinópolis,311260.0,0.0,0
655,Cabeceira Grande,310945.0,0.0,0
656,Guapé,312810.0,0.0,0
657,Itutinga,313450.0,0.0,0
658,Água Boa,310060.0,0.0,0
659,Bom Jesus do Galho,310780.0,0.0,0
660,Pimenta,315050.0,0.0,0
661,São João da Mata,316230.0,0.0,0
662,Campestre,311100.0,0.0,0
663,João Pinheiro,313630.0,0.0,0
664,São Gonçalo do Abaeté,316170.0,0.0,0
